album_name,album_release_date,artists_name,artists_id,duration_ms,explicit,name,popularity,external_urls
Invasion of Privacy,2018-04-06,Bad Bunny,4q3ewBCX7sLwd24euuV69X,253390,True,I Like It,82,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
Invasion of Privacy,2018-04-06,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,253390,True,I Like It,82,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
YHLQMDLG,2020-02-28,Bad Bunny,4q3ewBCX7sLwd24euuV69X,295176,True,Safaera,82,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
YHLQMDLG,2020-02-28,Jowell & Randy,4IMAo2UQchVFyPH24PAjUs,295176,True,Safaera,82,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
YHLQMDLG,2020-02-28,Ñengo Flow,12vb80Km0Ew53ABfJOepVz,295176,True,Safaera,82,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
Callaita,2019-05-31,Bad Bunny,4q3ewBCX7sLwd24euuV69X,250533,True,Callaita,82,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
Callaita,2019-05-31,Tainy,0GM7qgcRCORpGnfcN2tCiB,250533,True,Callaita,82,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
Scary Hours 2,2021-03-05,Drake,3TVXtAsR1Inumwj472S9r4,178153,True,What’s Next,90,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
Scary Hours 2,2021-03-05,Drake,3TVXtAsR1Inumwj472S9r4,192956,True,Wants and Needs (feat. Lil Baby),89,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
Scary Hours 2,2021-03-05,Lil Baby,5f7VJjfbwm532GiveGC0ZK,192956,True,Wants and Needs (feat. Lil Baby),89,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
Laugh Now Cry Later (feat. Lil Durk),2020-08-14,Drake,3TVXtAsR1Inumwj472S9r4,261492,True,Laugh Now Cry Later (feat. Lil Durk),87,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
Laugh Now Cry Later (feat. Lil Durk),2020-08-14,Lil Durk,3hcs9uc56yIGFCSy9leWe7,261492,True,Laugh Now Cry Later (feat. Lil Durk),87,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
POPSTAR (feat. Drake),2020-07-17,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,200221,True,POPSTAR (feat. Drake),85,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
POPSTAR (feat. Drake),2020-07-17,Drake,3TVXtAsR1Inumwj472S9r4,200221,True,POPSTAR (feat. Drake),85,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
Scary Hours 2,2021-03-05,Drake,3TVXtAsR1Inumwj472S9r4,383036,True,Lemon Pepper Freestyle (feat. Rick Ross),84,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
Scary Hours 2,2021-03-05,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,383036,True,Lemon Pepper Freestyle (feat. Rick Ross),84,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
Life Is Good (feat. Drake),2020-01-10,Future,1RyvyyTE3xzB2ZywiAwp0i,237735,True,Life Is Good (feat. Drake),84,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
Life Is Good (feat. Drake),2020-01-10,Drake,3TVXtAsR1Inumwj472S9r4,237735,True,Life Is Good (feat. Drake),84,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
Scorpion,2018-06-29,Drake,3TVXtAsR1Inumwj472S9r4,198973,True,God's Plan,83,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
Views,2016-05-06,Drake,3TVXtAsR1Inumwj472S9r4,173986,False,One Dance,82,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
Views,2016-05-06,WizKid,3tVQdUvClmAT7URs9V3rsp,173986,False,One Dance,82,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
Views,2016-05-06,Kyla,77DAFfvm3O9zT5dIoG0eIO,173986,False,One Dance,82,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
GREECE (feat. Drake),2020-07-16,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,218901,True,GREECE (feat. Drake),82,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
GREECE (feat. Drake),2020-07-16,Drake,3TVXtAsR1Inumwj472S9r4,218901,True,GREECE (feat. Drake),82,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
Dark Lane Demo Tapes,2020-05-01,Drake,3TVXtAsR1Inumwj472S9r4,220487,True,Chicago Freestyle (feat. Giveon),82,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
Dark Lane Demo Tapes,2020-05-01,Giveon,4fxd5Ee7UefO4CUXgwJ7IP,220487,True,Chicago Freestyle (feat. Giveon),82,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,Tainy,0GM7qgcRCORpGnfcN2tCiB,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
